cat_periodo,mrun,gen_alu,fec_nac_alu,rango_edad,anio_ing_carr_ori,sem_ing_carr_ori,fecha_obtencion_titulo,tipo_inst_1,tipo_inst_2,cod_inst,nomb_inst,cod_carrera,nomb_carrera,nivel_global,nivel_carrera_1,nivel_carrera_2,dur_estudio_carr,dur_proceso_tit,dur_total_carr,region_sede,provincia_sede,comuna_sede,jornada,modalidad,tipo_plan_carr,area_conocimiento,area_generica,cine_f_13_area,cine_f_13_subarea,anio_titulo,mes_titulo,semestre_titulo,duracion_real_sem,edad_titulacion,edad_ingreso,sobreduracion_sem,indice_duracion,titulacion_oportuna,categoria_rezago,genero,cohorte_ingreso,es_no_presencial,atipico_duracion,atipico_edad,atipico_teorica,es_atipico
2024,22467926,2,199412,25 a 29 Años,2021,1,20241220,Universidades,Universidades Cruch,75,Universidad del Bio-Bio,24,Pedagogia en Educacion General Basica,Pregrado,Profesional con Licenciatura,Carreras Profesionales,8,0,8,Ñuble,Diguillin,Chillan,Diurna,Presencial,Plan Regular,Educación,Pedagogía en Educación Básica,Educación,Educación,2024,12,2,8,30,27,0,1.0,True,Oportuna,Mujer,2021,False,False,False,False,False
2025,16115656,2,200007,20 a 24 Años,2023,1,20250816,Institutos Profesionales,Institutos Profesionales,143,Ip Aiep,62,Podologia Clinica,Pregrado,Técnico de Nivel Superior,Carreras Técnicas,5,1,5,Metropolitana,Santiago,Conchali,Vespertina,Presencial,Plan Regular,Salud,Técnico en Podología,Salud y Bienestar,Salud,2025,8,2,6,25,23,1,1.2,False,Rezago leve,Mujer,2023,False,False,False,False,False
2021,10092623,2,199511,25 a 29 Años,2016,1,20211223,Universidades,Universidades Cruch,71,Universidad de Santiago de Chile,68,Obstetricia y Puericultura,Pregrado,Profesional con Licenciatura,Carreras Profesionales,10,1,10,Metropolitana,Santiago,Estacion Central,Diurna,Presencial,Plan Regular,Salud,Obstetricia y Puericultura,Salud y Bienestar,Salud,2021,12,2,12,26,21,2,1.2,False,Rezago leve,Mujer,2016,False,False,False,False,False
2021,15706850,2,199206,25 a 29 Años,2010,1,20210416,Universidades,Universidades Cruch,34,Universidad de los Andes,40,Derecho,Pregrado,Profesional con Licenciatura,Carreras Profesionales,10,1,10,Metropolitana,Santiago,Las Condes,Diurna,Presencial,Plan Regular,Derecho,Derecho,Administración de Empresas y Derecho,Derecho,2021,4,1,23,28,18,13,2.3,False,Rezago severo,Mujer,2010,False,False,False,False,False
2023,2128962,1,199806,25 a 29 Años,2021,1,20230419,Institutos Profesionales,Institutos Profesionales,143,Ip Aiep,26,Tecnico en Construccion,Pregrado,Técnico de Nivel Superior,Carreras Técnicas,5,1,5,Metropolitana,Santiago,Conchali,Vespertina,Presencial,Plan Regular,Tecnología,Técnico en Construcción y Obras Civiles,"Ingeniería, Industria y Construcción",Arquitectura y Construcción,2023,4,1,5,24,23,0,1.0,True,Oportuna,Hombre,2021,False,False,False,False,False
2023,23382142,2,199409,25 a 29 Años,2013,1,20230414,Universidades,Universidades Cruch,70,Universidad de Chile,157,Medicina Veterinaria,Pregrado,Profesional con Licenciatura,Carreras Profesionales,10,0,10,Metropolitana,Santiago,Santiago,Diurna,Presencial,Plan Regular,Agropecuaria,Medicina Veterinaria,"Agricultura, Silvicultura, Pesca y Veterinaria",Veterinaria,2023,4,1,21,28,19,11,2.1,False,Rezago severo,Mujer,2013,False,False,False,False,False
2023,17879421,2,199802,25 a 29 Años,2021,1,20230727,Institutos Profesionales,Institutos Profesionales,106,Ip Providencia,250,Tecnico de Nivel Superior en Servicio Social,Pregrado,Técnico de Nivel Superior,Carreras Técnicas,4,0,4,Metropolitana,Santiago,Providencia,A Distancia,No Presencial,Plan Regular,Ciencias Sociales,Técnico en Servicio Social,Salud y Bienestar,Bienestar,2023,7,1,5,25,23,1,1.25,False,Rezago leve,Mujer,2021,True,False,False,False,False
2024,5654037,2,200007,20 a 24 Años,2020,1,20250219,Universidades,Universidades Privadas,13,Universidad Santo Tomas,2,Ingenieria Comercial,Pregrado,Profesional con Licenciatura,Carreras Profesionales,10,0,10,Biobío,Biobio,Los Angeles,Diurna,Presencial,Plan Regular,Administración y Comercio,Ingeniería Comercial,Administración de Empresas y Derecho,Educación Comercial y Administración,2025,2,1,11,24,20,1,1.1,False,Rezago leve,Mujer,2020,False,False,False,False,False
2021,19484512,2,199903,20 a 24 Años,2018,1,20220104,Universidades,Universidades Privadas,39,Universidad San Sebastian,21,Pedagogia en Educacion Diferencial,Pregrado,Profesional con Licenciatura,Carreras Profesionales,8,1,8,Metropolitana,Santiago,Santiago,Diurna,Presencial,Plan Regular,Educación,Pedagogía en Educación Diferencial,Educación,Educación,2022,1,1,9,22,19,1,1.125,False,Rezago leve,Mujer,2018,False,False,False,False,False
2022,15213031,1,200006,20 a 24 Años,2019,1,20220805,Centros de Formación Técnica,Centros de Formación Técnica,430,Cft Inacap,134,Mecanica Automotriz en Sistemas Electronicos,Pregrado,Técnico de Nivel Superior,Carreras Técnicas,4,0,4,Coquimbo,Elqui,La Serena,Vespertina,Presencial,Plan Regular,Tecnología,Técnico en Mecánica Automotriz,"Ingeniería, Industria y Construcción",Ingeniería y Profesiones Afines,2022,8,2,8,22,19,4,2.0,False,Rezago moderado,Hombre,2019,False,False,False,False,False
2020,459574,1,198504,35 a 39 Años,2015,1,20210219,Universidades,Universidades Privadas,13,Universidad Santo Tomas,2,Ingenieria Comercial,Pregrado,Profesional con Licenciatura,Carreras Profesionales,10,0,10,Metropolitana,Santiago,Santiago,Vespertina,Presencial,Plan Regular,Administración y Comercio,Ingeniería Comercial,Administración de Empresas y Derecho,Educación Comercial y Administración,2021,2,1,13,35,30,3,1.3,False,Rezago moderado,Hombre,2015,False,False,False,False,False
2020,13127992,1,199602,20 a 24 Años,2014,1,20201228,Universidades,Universidades Cruch,85,Universidad Tecnologica Metropolitana,3,Arquitectura,Pregrado,Profesional con Licenciatura,Carreras Profesionales,12,3,12,Metropolitana,Santiago,Santiago,Diurna,Presencial,Plan Regular,Arte y Arquitectura,Arquitectura,"Ingeniería, Industria y Construcción",Arquitectura y Construcción,2020,12,2,14,24,18,2,1.167,False,Rezago leve,Hombre,2014,False,False,False,False,False
2023,23539363,2,199608,25 a 29 Años,2018,1,20230727,Universidades,Universidades Privadas,26,"Universidad de Artes, Ciencias y Comunicacion - Uniacc",82,Ingenieria Comercial,Pregrado,Profesional con Licenciatura,Carreras Profesionales,10,0,10,Metropolitana,Santiago,Providencia,A Distancia,No Presencial,Plan Regular,Administración y Comercio,Ingeniería Comercial,Administración de Empresas y Derecho,Educación Comercial y Administración,2023,7,1,11,26,22,1,1.1,False,Rezago leve,Mujer,2018,True,False,False,False,False
2025,16105079,1,199209,30 a 34 Años,2012,1,20250826,Universidades,Universidades Cruch,88,Universidad Tecnica Federico Santa Maria,10,Ingenieria Civil,Pregrado,Profesional con Licenciatura,Carreras Profesionales,12,0,12,Valparaíso,Valparaiso,Valparaiso,Diurna,Presencial,Plan Regular,Tecnología,"Ingeniería Civil, Plan Común y Licenciatura en Ciencias de la Ingeniería","Ingeniería, Industria y Construcción",Ingeniería y Profesiones Afines,2025,8,2,28,32,20,16,2.333,False,Rezago severo,Hombre,2012,False,False,False,False,False
2021,14632122,2,198904,30 a 34 Años,2019,1,20211127,Institutos Profesionales,Institutos Profesionales,113,Ip Ipg,178,Tecnico de Nivel Superior en Prevencion de Riesgos,Pregrado,Técnico de Nivel Superior,Carreras Técnicas,5,1,5,Antofagasta,Antofagasta,Mejillones,Vespertina,Presencial,Plan Regular,Tecnología,Técnico en Prevención de Riesgos,Servicios,Servicios de Higiene y Salud Ocupacional,2021,11,2,6,32,30,1,1.2,False,Rezago leve,Mujer,2019,False,False,False,False,False
2024,22342402,2,199710,25 a 29 Años,2016,1,20240927,Universidades,Universidades Cruch,94,Universidad Catolica de Temuco,133,Ingenieria Civil Quimica,Pregrado,Profesional con Licenciatura,Carreras Profesionales,10,0,10,La Araucanía,Cautin,Temuco,Diurna,Presencial,Plan Regular,Tecnología,Ingeniería Civil Química,"Ingeniería, Industria y Construcción",Ingeniería y Profesiones Afines,2024,9,2,18,26,19,8,1.8,False,Rezago severo,Mujer,2016,False,False,False,False,False
2020,21097660,2,199710,20 a 24 Años,2016,1,20201008,Centros de Formación Técnica,Centros de Formación Técnica,218,Cft de Enac,10,Tecnico en Enfermeria,Pregrado,Técnico de Nivel Superior,Carreras Técnicas,5,1,6,Metropolitana,Santiago,Santiago,Diurna,Presencial,Plan Regular,Salud,Técnico en Enfermería,Salud y Bienestar,Salud,2020,10,2,10,23,19,4,1.667,False,Rezago moderado,Mujer,2016,False,False,False,False,False
2023,12254499,2,199902,20 a 24 Años,2017,1,20230803,Universidades,Universidades Cruch,90,Universidad Austral de Chile,112,Tecnologia Medica,Pregrado,Profesional con Licenciatura,Carreras Profesionales,10,0,10,Los Ríos,Valdivia,Valdivia,Diurna,Presencial,Plan Regular,Salud,Tecnología Médica,Salud y Bienestar,Salud,2023,8,2,14,24,18,4,1.4,False,Rezago moderado,Mujer,2017,False,False,False,False,False
2020,3385892,2,199612,20 a 24 Años,2017,1,20200909,Institutos Profesionales,Institutos Profesionales,143,Ip Aiep,29,Asistente de Parvulos,Pregrado,Técnico de Nivel Superior,Carreras Técnicas,5,1,5,Biobío,Biobio,Los Angeles,Diurna,Presencial,Plan Regular,Educación,Técnico Asistente del Educador de Párvulos,Educación,Educación,2020,9,2,8,23,21,3,1.6,False,Rezago moderado,Mujer,2017,False,False,False,False,False
2021,10431812,2,199407,25 a 29 Años,2013,1,20211022,Universidades,Universidades Cruch,90,Universidad Austral de Chile,22,Enfermeria,Pregrado,Profesional con Licenciatura,Carreras Profesionales,10,0,10,Los Ríos,Valdivia,Valdivia,Diurna,Presencial,Plan Regular,Salud,Enfermería,Salud y Bienestar,Salud,2021,10,2,18,27,19,8,1.8,False,Rezago severo,Mujer,2013,False,False,False,False,False
2024,5328162,2,199701,25 a 29 Años,2017,1,20240411,Universidades,Universidades Cruch,75,Universidad del Bio-Bio,6,Diseño Industrial,Pregrado,Profesional con Licenciatura,Carreras Profesionales,9,0,9,Biobío,Concepcion,Concepcion,Diurna,Presencial,Plan Regular,Tecnología,Diseño Industrial,"Ingeniería, Industria y Construcción",Ingeniería y Profesiones Afines,2024,4,1,15,27,20,6,1.667,False,Rezago severo,Mujer,2017,False,False,False,False,False
2021,8166583,2,199009,30 a 34 Años,2017,1,20210428,Institutos Profesionales,Institutos Profesionales,116,Ip Santo Tomas,61,Ingenieria de Ejecucion en Administracion de Recursos Humanos,Pregrado,Profesional Sin Licenciatura,Carreras Profesionales,8,0,8,La Araucanía,Cautin,Temuco,Vespertina,Presencial,Plan Regular,Administración y Comercio,Ingeniería en Recursos Humanos,Administración de Empresas y Derecho,Educación Comercial y Administración,2021,4,1,9,30,27,1,1.125,False,Rezago leve,Mujer,2017,False,False,False,False,False
2021,5776028,1,199511,25 a 29 Años,2017,1,20210316,Institutos Profesionales,Institutos Profesionales,111,Ip Duoc Uc,104,Ingenieria en Construccion,Pregrado,Profesional Sin Licenciatura,Carreras Profesionales,8,1,8,Metropolitana,Santiago,Maipu,Vespertina,Presencial,Plan Regular,Tecnología,Ingeniería en Construcción,"Ingeniería, Industria y Construcción",Arquitectura y Construcción,2021,3,1,9,25,22,1,1.125,False,Rezago leve,Hombre,2017,False,False,False,False,False
2025,3957261,2,199902,25 a 29 Años,2020,1,20251229,Universidades,Universidades Privadas,4,Universidad Central de Chile,636,Terapia Ocupacional,Pregrado,Profesional con Licenciatura,Carreras Profesionales,10,0,10,Metropolitana,Santiago,Santiago,Diurna,Presencial,Plan Regular,Salud,Terapia Ocupacional,Salud y Bienestar,Salud,2025,12,2,12,26,21,2,1.2,False,Rezago leve,Mujer,2020,False,False,False,False,False
2022,24399865,2,200010,20 a 24 Años,2019,1,20220430,Institutos Profesionales,Institutos Profesionales,111,Ip Duoc Uc,84,Administracion de Recursos Humanos,Pregrado,Técnico de Nivel Superior,Carreras Técnicas,5,1,5,Metropolitana,Santiago,Cerrillos,Diurna,Presencial,Plan Regular,Administración y Comercio,Técnico en Administración de Recursos Humanos y Personal,Administración de Empresas y Derecho,Educación Comercial y Administración,2022,4,1,7,21,19,2,1.4,False,Rezago leve,Mujer,2019,False,False,False,False,False
2024,20146141,2,200112,20 a 24 Años,2020,1,20250106,Universidades,Universidades Cruch,71,Universidad de Santiago de Chile,2,Administracion Publica,Pregrado,Profesional con Licenciatura,Carreras Profesionales,10,1,10,Metropolitana,Santiago,Estacion Central,Diurna,Presencial,Plan Regular,Ciencias Sociales,Administración Pública,Administración de Empresas y Derecho,Educación Comercial y Administración,2025,1,1,11,23,19,1,1.1,False,Rezago leve,Mujer,2020,False,False,False,False,False
2023,24327022,2,199806,25 a 29 Años,2018,1,20231115,Universidades,Universidades Cruch,87,Universidad de Concepcion,4,Auditoria,Pregrado,Profesional con Licenciatura,Carreras Profesionales,8,0,8,Biobío,Concepcion,Concepcion,Diurna,Presencial,Plan Regular,Administración y Comercio,Contador Auditor,Administración de Empresas y Derecho,Educación Comercial y Administración,2023,11,2,12,25,20,4,1.5,False,Rezago moderado,Mujer,2018,False,False,False,False,False
2025,1961759,1,200210,20 a 24 Años,2022,1,20251226,Institutos Profesionales,Institutos Profesionales,111,Ip Duoc Uc,24,Ingenieria en Prevencion de Riesgos,Pregrado,Profesional Sin Licenciatura,Carreras Profesionales,8,1,8,Biobío,Concepcion,Concepcion,Diurna,Presencial,Plan Regular,Tecnología,Ingeniería en Prevención de Riesgos,Servicios,Servicios de Higiene y Salud Ocupacional,2025,12,2,8,23,20,0,1.0,True,Oportuna,Hombre,2022,False,False,False,False,False
2025,13174375,1,200111,20 a 24 Años,2021,1,20251231,Universidades,Universidades Privadas,45,Universidad del Desarrollo,33,Enfermeria,Pregrado,Profesional con Licenciatura,Carreras Profesionales,10,0,10,Metropolitana,Santiago,Las Condes,Diurna,Presencial,Plan Regular,Salud,Enfermería,Salud y Bienestar,Salud,2025,12,2,10,24,20,0,1.0,True,Oportuna,Hombre,2021,False,False,False,False,False
2025,17984191,1,200104,20 a 24 Años,2019,1,20251030,Institutos Profesionales,Institutos Profesionales,111,Ip Duoc Uc,413,Ingenieria en Electricidad y Automatizacion Industrial,Pregrado,Profesional Sin Licenciatura,Carreras Profesionales,8,1,8,Metropolitana,Maipo,San Bernardo,Diurna,Presencial,Plan Regular,Tecnología,Ingeniería en Electricidad,"Ingeniería, Industria y Construcción",Ingeniería y Profesiones Afines,2025,10,2,14,24,18,6,1.75,False,Rezago severo,Hombre,2019,False,False,False,False,False
2022,19553791,1,200012,20 a 24 Años,2019,1,20220729,Institutos Profesionales,Institutos Profesionales,143,Ip Aiep,9,Contabilidad General,Pregrado,Técnico de Nivel Superior,Carreras Técnicas,5,1,5,Metropolitana,Santiago,Conchali,Vespertina,Presencial,Plan Regular,Administración y Comercio,Técnico en Contabilidad General,Administración de Empresas y Derecho,Educación Comercial y Administración,2022,7,1,7,21,19,2,1.4,False,Rezago leve,Hombre,2019,False,False,False,False,False
2025,2223575,1,199711,25 a 29 Años,2016,1,20250617,Centros de Formación Técnica,Centros de Formación Técnica,430,Cft Inacap,61,Topografia,Pregrado,Técnico de Nivel Superior,Carreras Técnicas,4,0,4,Coquimbo,Elqui,La Serena,Diurna,Presencial,Plan Regular,Tecnología,Técnico en Topografía,"Ingeniería, Industria y Construcción",Arquitectura y Construcción,2025,6,1,19,27,19,15,4.75,False,Rezago severo,Hombre,2016,False,False,False,False,False
2021,20093847,1,199709,20 a 24 Años,2016,1,20210823,Universidades,Universidades Privadas,31,Universidad Autonoma de Chile,39,Kinesiologia,Pregrado,Profesional con Licenciatura,Carreras Profesionales,10,1,10,La Araucanía,Cautin,Temuco,Diurna,Presencial,Plan Regular,Salud,Kinesiología,Salud y Bienestar,Salud,2021,8,2,12,23,19,2,1.2,False,Rezago leve,Hombre,2016,False,False,False,False,False
2023,19020785,1,200009,20 a 24 Años,2020,1,20231222,Institutos Profesionales,Institutos Profesionales,111,Ip Duoc Uc,22,Ingenieria en Mecanica Automotriz y Autotronica,Pregrado,Profesional Sin Licenciatura,Carreras Profesionales,8,1,8,Metropolitana,Santiago,San Joaquin,Vespertina,Presencial,Plan Regular,Tecnología,Ingeniería en Mecánica Automotriz,"Ingeniería, Industria y Construcción",Ingeniería y Profesiones Afines,2023,12,2,8,23,20,0,1.0,True,Oportuna,Hombre,2020,False,False,False,False,False
2022,25516006,2,199906,20 a 24 Años,2016,1,20221130,Universidades,Universidades Privadas,54,Universidad Tecnologica de Chile Inacap,47,Ingenieria en Administracion de Empresas Mencion Finanzas,Pregrado,Profesional Sin Licenciatura,Carreras Profesionales,8,0,8,Metropolitana,Santiago,Las Condes,Vespertina,Semipresencial,Plan Regular,Administración y Comercio,Administración de Empresas e Ing. Asociadas,Administración de Empresas y Derecho,Educación Comercial y Administración,2022,11,2,14,23,17,6,1.75,False,Rezago severo,Mujer,2016,False,False,False,False,False
2020,11406543,1,199006,30 a 34 Años,2018,1,20210126,Institutos Profesionales,Institutos Profesionales,111,Ip Duoc Uc,413,Ingenieria en Electricidad y Automatizacion Industrial,Pregrado,Profesional Sin Licenciatura,Carreras Profesionales,8,1,8,Metropolitana,Santiago,San Joaquin,Vespertina,Presencial,Plan Regular,Tecnología,Ingeniería en Electricidad,"Ingeniería, Industria y Construcción",Ingeniería y Profesiones Afines,2021,1,1,7,30,28,-1,0.875,True,Oportuna,Hombre,2018,False,False,False,False,False
2025,8848003,1,199801,25 a 29 Años,2017,1,20250325,Universidades,Universidades Cruch,70,Universidad de Chile,174,Psicologia,Pregrado,Profesional con Licenciatura,Carreras Profesionales,10,2,12,Metropolitana,Santiago,Santiago,Diurna,Presencial,Plan Regular,Ciencias Sociales,Psicología,"Ciencias Sociales, Periodismo e Información",Ciencias Sociales y del Comportamiento,2025,3,1,17,27,19,5,1.417,False,Rezago severo,Hombre,2017,False,False,False,False,False
2023,6673329,1,200112,20 a 24 Años,2020,1,20240206,Institutos Profesionales,Institutos Profesionales,116,Ip Santo Tomas,207,Ingenieria Agricola,Pregrado,Profesional Sin Licenciatura,Carreras Profesionales,8,0,8,Biobío,Biobio,Los Angeles,Diurna,Presencial,Plan Regular,Agropecuaria,Ingeniería Agrícola,"Agricultura, Silvicultura, Pesca y Veterinaria",Agricultura,2024,2,1,9,22,19,1,1.125,False,Rezago leve,Hombre,2020,False,False,False,False,False
2025,14313225,1,200102,20 a 24 Años,2022,1,20260120,Institutos Profesionales,Institutos Profesionales,111,Ip Duoc Uc,22,Ingenieria en Mecanica Automotriz y Autotronica,Pregrado,Profesional Sin Licenciatura,Carreras Profesionales,8,1,8,Metropolitana,Santiago,Maipu,Vespertina,Presencial,Plan Regular,Tecnología,Ingeniería en Mecánica Automotriz,"Ingeniería, Industria y Construcción",Ingeniería y Profesiones Afines,2026,1,1,9,24,21,1,1.125,False,Rezago leve,Hombre,2022,False,False,False,False,False
2021,19540546,1,198709,30 a 34 Años,2021,1,20211102,Institutos Profesionales,Institutos Profesionales,116,Ip Santo Tomas,,Tecnico en Construcciones Civiles,Pregrado,Técnico de Nivel Superior,Carreras Técnicas,5,0,5,Los Lagos,Llanquihue,Puerto Montt,Vespertina,Presencial,Plan Regular,Tecnología,Técnico en Construcción y Obras Civiles,"Ingeniería, Industria y Construcción",Arquitectura y Construcción,2021,11,2,2,34,34,-3,0.4,True,Oportuna,Hombre,2021,False,False,False,False,False
2021,14752772,1,198603,35 a 39 Años,2015,1,20211014,Universidades,Universidades Cruch,88,Universidad Tecnica Federico Santa Maria,15,Ingenieria Civil Industrial,Pregrado,Profesional con Licenciatura,Carreras Profesionales,7,0,7,Metropolitana,Santiago,Vitacura,Vespertina,Presencial,Plan Regular de Continuidad,Tecnología,Ingeniería Civil Industrial,"Ingeniería, Industria y Construcción",Ingeniería y Profesiones Afines,2021,10,2,14,35,29,7,2.0,False,Rezago severo,Hombre,2015,False,False,False,False,False
2024,6124665,1,199902,25 a 29 Años,2020,1,20240409,Institutos Profesionales,Institutos Profesionales,111,Ip Duoc Uc,22,Ingenieria en Mecanica Automotriz y Autotronica,Pregrado,Profesional Sin Licenciatura,Carreras Profesionales,8,1,8,Los Lagos,Llanquihue,Puerto Montt,Vespertina,Presencial,Plan Regular,Tecnología,Ingeniería en Mecánica Automotriz,"Ingeniería, Industria y Construcción",Ingeniería y Profesiones Afines,2024,4,1,9,25,21,1,1.125,False,Rezago leve,Hombre,2020,False,False,False,False,False
2020,8087704,2,199407,25 a 29 Años,2013,1,20200703,Universidades,Universidades Cruch,89,Pontificia Universidad Catolica de Valparaiso,108,Ingenieria Civil,Pregrado,Profesional con Licenciatura,Carreras Profesionales,12,0,12,Valparaíso,Valparaiso,Valparaiso,Diurna,Presencial,Plan Regular,Tecnología,"Ingeniería Civil, Plan Común y Licenciatura en Ciencias de la Ingeniería","Ingeniería, Industria y Construcción",Ingeniería y Profesiones Afines,2020,7,1,15,26,19,3,1.25,False,Rezago moderado,Mujer,2013,False,False,False,False,False
2023,14501509,1,200004,20 a 24 Años,2018,1,20230515,Universidades,Universidades Privadas,39,Universidad San Sebastian,28,Quimica y Farmacia,Pregrado,Profesional con Licenciatura,Carreras Profesionales,10,1,10,Metropolitana,Santiago,Santiago,Diurna,Presencial,Plan Regular,Salud,Química y Farmacia,Salud y Bienestar,Salud,2023,5,1,11,23,18,1,1.1,False,Rezago leve,Hombre,2018,False,False,False,False,False
2023,20443797,1,199906,20 a 24 Años,2021,1,20230721,Institutos Profesionales,Institutos Profesionales,111,Ip Duoc Uc,19,Contabilidad General Mencion Legislacion Tributaria,Pregrado,Técnico de Nivel Superior,Carreras Técnicas,5,1,5,Metropolitana,Santiago,Huechuraba,Diurna,Presencial,Plan Regular,Administración y Comercio,Técnico en Contabilidad General,Administración de Empresas y Derecho,Educación Comercial y Administración,2023,7,1,5,24,22,0,1.0,True,Oportuna,Hombre,2021,False,False,False,False,False
2023,4038881,2,200002,20 a 24 Años,2019,1,20230306,Universidades,Universidades Cruch,82,Universidad Metropolitana de Ciencias de la Educacion,7,"Licenciatura en Educacion y Pedagogia en Educacion Fisica, Deportes y Recreacion (Damas)",Pregrado,Profesional con Licenciatura,Carreras Profesionales,10,2,10,Metropolitana,Santiago,Ñuñoa,Diurna,Presencial,Plan Regular,Educación,Pedagogía en Educación Física,Educación,Educación,2023,3,1,9,23,19,-1,0.9,True,Oportuna,Mujer,2019,False,False,False,False,False
2024,6216801,1,199811,25 a 29 Años,2019,1,20240314,Universidades,Universidades Cruch,92,Universidad Catolica del Maule,38,Psicologia,Pregrado,Profesional con Licenciatura,Carreras Profesionales,10,0,10,Maule,Talca,Talca,Diurna,Presencial,Plan Regular,Ciencias Sociales,Psicología,"Ciencias Sociales, Periodismo e Información",Ciencias Sociales y del Comportamiento,2024,3,1,11,25,21,1,1.1,False,Rezago leve,Hombre,2019,False,False,False,False,False
2021,16845513,2,200112,15 a 19 Años,2020,1,20220121,Universidades,Universidades Cruch,93,Universidad Catolica de la Santisima Concepcion,216,Tecnico Universitario en Administracion,Pregrado,Técnico de Nivel Superior,Carreras Técnicas,4,1,4,Biobío,Biobio,Los Angeles,Vespertina,Presencial,Plan Regular,Administración y Comercio,Técnico en Administración de Empresas,Administración de Empresas y Derecho,Educación Comercial y Administración,2022,1,1,5,20,19,1,1.25,False,Rezago leve,Mujer,2020,False,False,False,False,False
2022,20957067,1,198410,35 a 39 Años,2020,1,20220905,Institutos Profesionales,Institutos Profesionales,143,Ip Aiep,651,Tecnico en Administracion de Empresas,Pregrado,Técnico de Nivel Superior,Carreras Técnicas,5,1,5,Metropolitana,Santiago,Conchali,A Distancia,No Presencial,Plan Regular,Administración y Comercio,Técnico en Administración de Empresas,Administración de Empresas y Derecho,Educación Comercial y Administración,2022,9,2,6,37,36,1,1.2,False,Rezago leve,Hombre,2020,True,False,False,False,False
2020,16490014,1,199707,20 a 24 Años,2016,1,20200413,Institutos Profesionales,Institutos Profesionales,100,Ip Inacap,168,"Ingenieria en Telecomunicaciones, Conectividad y Redes",Pregrado,Profesional Sin Licenciatura,Carreras Profesionales,8,0,8,Metropolitana,Santiago,Macul,Vespertina,Presencial,Plan Regular,Tecnología,Ingeniería en Telecomunicaciones,"Ingeniería, Industria y Construcción",Ingeniería y Profesiones Afines,2020,4,1,9,22,19,1,1.125,False,Rezago leve,Hombre,2016,False,False,False,False,False
2022,24325504,2,197207,40 y Más Años,2019,1,20220706,Institutos Profesionales,Institutos Profesionales,152,Ip Latinoamericano de Comercio Exterior - Iplacex,326,Tecnico en Administracion de Empresas,Pregrado,Técnico de Nivel Superior,Carreras Técnicas,4,0,4,Metropolitana,Santiago,Santiago,A Distancia,No Presencial,Plan Regular,Administración y Comercio,Técnico en Administración de Empresas,Administración de Empresas y Derecho,Educación Comercial y Administración,2022,7,1,7,50,47,3,1.75,False,Rezago moderado,Mujer,2019,True,False,False,False,False
2021,18765458,2,199512,25 a 29 Años,2019,1,20211021,Centros de Formación Técnica,Centros de Formación Técnica,218,Cft de Enac,152,Tecnico en Cosmetologia y Estetica Integral,Pregrado,Técnico de Nivel Superior,Carreras Técnicas,5,0,5,Metropolitana,Santiago,Santiago,Diurna,Presencial,Plan Regular,Arte y Arquitectura,Técnico en Peluquería y Estética,Servicios,Servicios Personales,2021,10,2,6,25,24,1,1.2,False,Rezago leve,Mujer,2019,False,False,False,False,False
2022,3182909,1,198703,35 a 39 Años,2017,1,20220617,Universidades,Universidades Privadas,54,Universidad Tecnologica de Chile Inacap,48,Ingenieria en Informatica,Pregrado,Profesional con Licenciatura,Carreras Profesionales,8,0,8,Los Lagos,Llanquihue,Puerto Montt,Diurna,Presencial,Plan Regular,Tecnología,Ingeniería en Computación e Informática,Tecnología de la Información y la Comunicación (Tic),Tecnología de la Información y la Comunicación (Tic),2022,6,1,11,35,30,3,1.375,False,Rezago moderado,Hombre,2017,False,False,False,False,False
2024,11447132,2,198705,35 a 39 Años,2022,1,20240801,Institutos Profesionales,Institutos Profesionales,111,Ip Duoc Uc,405,Tecnico en Prevencion de Riesgos,Pregrado,Técnico de Nivel Superior,Carreras Técnicas,5,1,5,Metropolitana,Maipo,San Bernardo,Vespertina,Presencial,Plan Regular,Tecnología,Técnico en Prevención de Riesgos,Servicios,Servicios de Higiene y Salud Ocupacional,2024,8,2,6,37,35,1,1.2,False,Rezago leve,Mujer,2022,False,False,False,False,False
2021,9117604,2,198304,35 a 39 Años,2016,1,20210616,Institutos Profesionales,Institutos Profesionales,111,Ip Duoc Uc,22,Ingenieria en Mecanica Automotriz y Autotronica,Pregrado,Profesional Sin Licenciatura,Carreras Profesionales,8,1,8,Metropolitana,Santiago,Maipu,Vespertina,Presencial,Plan Regular,Tecnología,Ingeniería en Mecánica Automotriz,"Ingeniería, Industria y Construcción",Ingeniería y Profesiones Afines,2021,6,1,11,38,33,3,1.375,False,Rezago moderado,Mujer,2016,False,False,False,False,False
2021,17016441,2,199208,25 a 29 Años,2013,1,20210604,Universidades,Universidades Cruch,86,Pontificia Universidad Catolica de Chile,200,Psicologia,Pregrado,Profesional con Licenciatura,Carreras Profesionales,10,0,10,Metropolitana,Santiago,Macul,Diurna,Presencial,Plan Regular,Ciencias Sociales,Psicología,"Ciencias Sociales, Periodismo e Información",Ciencias Sociales y del Comportamiento,2021,6,1,17,28,21,7,1.7,False,Rezago severo,Mujer,2013,False,False,False,False,False
